Time [s],Channel A [V],Channel B [V]
0.112890625,0.004962,-0.025
0.11328125,0.004962,0
0.113671875,0.004962,-0.025
0.1140625,0,0
0.114453125,0.002481,0
0.11484375,0.004962,0
0.115234375,0.004962,0
0.115625,0.002481,0
0.116015625,0.004962,0
0.11640625,0.002481,0
0.116796875,0.002481,0
0.1171875,0.004962,-0.025
0.117578125,0.004962,0
0.11796875,0,0
0.118359375,0,-0.025
0.11875,0.002481,-0.025
0.119140625,0,-0.025
0.11953125,0,-0.025
0.119921875,0.002481,0
0.1203125,0,-0.025
0.120703125,-0.002481,-0.025
0.12109375,0,-0.025
0.121484375,-0.004962,0
0.121875,-0.002481,0
0.122265625,-0.002481,-0.025
0.12265625,-0.004962,0
0.123046875,-0.004962,0
0.1234375,-0.002481,-0.025
0.123828125,-0.004962,0
0.12421875,-0.002481,0
0.124609375,-0.009924,-0.025
0.125,-0.009924,0
0.125390625,-0.007443,0.025
0.12578125,-0.009924,0
0.126171875,-0.009924,-0.05
0.1265625,-0.012405,0
0.126953125,-0.012405,-0.025
0.12734375,-0.012405,0.025
0.127734375,-0.012405,0
0.128125,-0.012405,0
0.128515625,-0.012405,-0.025
0.12890625,-0.014886,0
0.129296875,-0.012405,-0.05
0.1296875,-0.012405,0
0.130078125,-0.017367,-0.025
0.13046875,-0.014886,-0.025
0.130859375,-0.012405,0
0.13125,-0.009924,0
0.131640625,-0.009924,0
0.13203125,-0.007443,-0.025
0.132421875,-0.007443,-0.025
0.1328125,-0.002481,0
0.133203125,0.002481,0
0.13359375,0.002481,0
0.133984375,0.009924,0.025
0.134375,0.009924,0
0.134765625,0.014886,0
0.13515625,0.017367,0
0.135546875,0.019848,-0.025
0.1359375,0.019848,0
0.136328125,0.02481,0
0.13671875,0.029772,0
0.137109375,0.029772,-0.025
0.1375,0.029772,0
0.137890625,0.029772,0
0.13828125,0.029772,0
0.138671875,0.029772,0
0.1390625,0.029772,0
0.139453125,0.027291,-0.025
0.13984375,0.029772,0
0.140234375,0.027291,0
0.140625,0.027291,0
0.141015625,0.022329,0
0.14140625,0.02481,-0.025
0.141796875,0.027291,-0.025
0.1421875,0.02481,0
0.142578125,0.02481,0
0.14296875,0.019848,-0.05
0.143359375,0.019848,0
0.14375,0.019848,-0.025
0.144140625,0.019848,0
0.14453125,0.014886,0
0.144921875,0.019848,0
0.1453125,0.017367,0
0.145703125,0.017367,-0.025
0.14609375,0.017367,0.025
0.146484375,0.017367,0
0.146875,0.012405,0
0.147265625,0.014886,0
0.14765625,0.014886,0
0.148046875,0.007443,-0.025
0.1484375,0.014886,0
0.148828125,0.012405,-0.025
0.14921875,0.009924,0
0.149609375,0.009924,0
0.15,0.009924,0
0.150390625,0.009924,0
0.15078125,0.009924,-0.025
0.151171875,0.012405,0
0.1515625,0.009924,-0.05
0.151953125,0.009924,-0.025
0.15234375,0.007443,-0.025
0.152734375,0.007443,-0.025
0.153125,0.009924,-0.025
0.153515625,0.009924,0
0.15390625,0.009924,0.025
0.154296875,0.007443,0.025
0.1546875,0.009924,-0.025
0.155078125,0.007443,0
0.15546875,0.004962,0
0.155859375,0.007443,0
0.15625,0.009924,0
0.156640625,0.009924,0
0.15703125,0.007443,0
0.157421875,0.007443,-0.025
0.1578125,0.009924,0
0.158203125,0.009924,0
0.15859375,0.007443,0
0.158984375,0.007443,-0.025
0.159375,0.009924,0
0.159765625,0.007443,0
0.16015625,0.007443,-0.025
0.160546875,0.007443,0
0.1609375,0.009924,0
0.161328125,0.007443,0
0.16171875,0.007443,0
